id,type,name,english_name,category,stage,description,source_book,tags,applicable_scenario,difficulty
master_dawson,Master,罗杰·道森,Roger Dawson,谈判宗师,,美国第一谈判教练，15大谈判策略覆盖开局中局终局三阶段，强调实战优势获取,《优势谈判》,实战/策略/权势,全场景,中级
master_fisher,Master,罗杰·费希尔 & 威廉·尤里,Roger Fisher & William Ury,谈判宗师,,哈佛谈判项目创始人，原则性谈判四步法，聚焦利益而非立场,《谈判力》,原则/双赢/哈佛,全场景,基础
master_voss,Master,克里斯·沃斯,Chris Voss,谈判宗师,,FBI首席人质谈判专家，战术性同理心体系，以情商驱动谈判突破,《掌控谈话》,FBI/情商/心理战,危机/高压场景,高级
master_cohen,Master,赫布·科恩,Herb Cohen,谈判宗师,,权力时间信息三角模型，认为世界是张谈判桌，万事皆可谈,《谈判无处不在》,权力/时间/信息,全场景,中级
master_diamond,Master,斯图尔特·戴蒙德,Stuart Diamond,谈判宗师,,沃顿商学院教授，情感与感知是核心战场，人比流程更重要,《Getting More》,情感/感知/沃顿,复杂多方场景,高级
master_shell,Master,理查德·谢尔,G. Richard Shell,谈判宗师,,沃顿商学院教授，五种谈判风格框架，知己知彼因地制宜,《为优势而谈判》,风格/适应/沃顿,全场景,中级
tactic_dawson_01,Tactic,狮子大开口,High Ball / Low Ball,开局策略,开局,要价远高于预期底线，留出让步空间，设立高锚点控制参照框架,《优势谈判》,锚定/开局/让步空间,商业谈判/分配博弈,基础
tactic_dawson_02,Tactic,虚假权威,Bogey / Higher Authority,开局策略,开局,"声称需要请示上级，保留缓冲空间，让对方对最终决策者无处施压",《优势谈判》,权威/缓冲/中间人,价格谈判/合同谈判,中级
tactic_dawson_03,Tactic,不情愿买家/卖家,Reluctant Buyer/Seller,开局策略,开局,表现出勉强和不情愿的姿态，让对方感到他们在争取你参与谈判,《优势谈判》,姿态/心理/稀缺感,购买谈判/合作洽谈,中级
tactic_dawson_04,Tactic,钳子策略,Vise Technique,开局策略,开局,"一句话压缩对方空间：'你能做得更好'，且不先出价、不暴露底线",《优势谈判》,压缩/沉默/心理战,价格谈判,中级
tactic_dawson_05,Tactic,请示上级,Higher Authority,中局策略,中局,声称无权做最终决定，避免单方面让步压力，为己方争取内部协调时间,《优势谈判》,权威/拖延/保护,合同谈判/采购谈判,基础
tactic_dawson_06,Tactic,消解僵局,Breaking Deadlock,中局策略,中局,换人换地点换议题，通过改变物理或议题环境打破卡壳局面,《优势谈判》,僵局/灵活/转换,复杂谈判/多轮谈判,中级
tactic_dawson_07,Tactic,让步节奏管理,Concession Management,中局策略,中局,让步幅度递减（大→中→小），以递减曲线暗示己方已接近极限,《优势谈判》,让步/节奏/信号,价格谈判/商业合同,中级
tactic_dawson_08,Tactic,回收策略,Withdrawal,中局策略,中局,表现出重新考虑的态度，引发对方担忧并做出反应，测试其真实底线,《优势谈判》,撤回/测试/压力,价格谈判,高级
tactic_dawson_09,Tactic,时间压力,Time Pressure,中局策略,中局,善用接近截止期限的时机，此时双方都更愿意妥协达成协议,《优势谈判》,时间/期限/压力,全场景,基础
tactic_dawson_10,Tactic,蚕食策略,Nibbling,终局策略,终局,协议接近完成时提出小额追加要求，对方为维护大局往往做出让步,《优势谈判》,蚕食/追加/终局,采购/合同/房产,高级
tactic_dawson_11,Tactic,打包策略,Package Deal,终局策略,终局,将多个议题打包处理，用不重要项目换取核心重要利益,《优势谈判》,打包/整合/价值创造,多议题谈判,中级
tactic_dawson_12,Tactic,黑脸白脸,Good Cop Bad Cop,终局策略,终局,团队中一人强硬一人温和，制造心理压力与慰藉的双重效果,《优势谈判》,角色/团队/心理战,团队谈判/采购,中级
tactic_dawson_13,Tactic,定位让步,Positioning Concession,终局策略,终局,最后关键让步刻意放小，显示已到底线，给对方"赢了"的心理满足感,《优势谈判》,让步/心理/收尾,价格谈判/合同收尾,中级
tactic_dawson_14,Tactic,书面记录,Written Agreement,终局策略,终局,任何口头承诺立即书面化确认，防止事后反悔或记忆分歧,《优势谈判》,书面/确认/保障,全场景,基础
tactic_dawson_15,Tactic,永不平分差异,Never Split the Difference,核心原则,原则,平分看似公平实则对先出高价者不利；引导对方自愿接受中间价而非硬平分,《优势谈判》,原则/公平陷阱/引导,价格谈判,高级
tactic_fisher_01,Tactic,对人温和对事强硬,Soft on People Hard on Problem,原则性谈判,原则1,把人与问题分开处理；不让情绪和人际关系阻碍实质利益的实现,《谈判力》,人与问题/分离/关系,全场景,基础
tactic_fisher_02,Tactic,聚焦利益非立场,Focus on Interests Not Positions,原则性谈判,原则2,"挖掘'为什么'而非执着于'要什么'；背后的利益才是真正的谈判空间",《谈判力》,利益/立场/挖掘,全场景,中级
