id,label,type,english_name,source_book,tags,difficulty,description
master_dawson,罗杰·道森,Master,Roger Dawson,《优势谈判》,实战/策略/权势,中级,"美国第一谈判教练，15大谈判策略覆盖开局中局终局三阶段，强调实战优势获取"
master_fisher,罗杰·费希尔,Master,Roger Fisher & William Ury,《谈判力》,原则/双赢/哈佛,基础,"哈佛谈判项目创始人，原则性谈判四步法，聚焦利益而非立场"
master_voss,克里斯·沃斯,Master,Chris Voss,《掌控谈话》,FBI/情商/心理战,高级,"FBI首席人质谈判专家，战术性同理心体系，以情商驱动谈判突破"
master_cohen,赫布·科恩,Master,Herb Cohen,《谈判无处不在》,权力/时间/信息,中级,"权力时间信息三角模型，认为世界是张谈判桌，万事皆可谈"
master_diamond,斯图尔特·戴蒙德,Master,Stuart Diamond,《Getting More》,情感/感知/沃顿,高级,"沃顿商学院教授，情感与感知是核心战场，人比流程更重要"
master_shell,理查德·谢尔,Master,G. Richard Shell,《为优势而谈判》,风格/适应/沃顿,中级,"沃顿商学院教授，五种谈判风格框架，知己知彼因地制宜"
tactic_dawson_01,狮子大开口,Tactic,High Ball/Low Ball,《优势谈判》,锚定/开局/让步空间,基础,"要价远高于预期底线，留出让步空间，设立高锚点控制参照框架"
tactic_dawson_02,虚假权威,Tactic,Bogey/Higher Authority,《优势谈判》,权威/缓冲/中间人,中级,"声称需要请示上级，保留缓冲空间，让对方对最终决策者无处施压"
tactic_dawson_03,不情愿买家,Tactic,Reluctant Buyer/Seller,《优势谈判》,姿态/心理/稀缺感,中级,"表现出勉强和不情愿的姿态，让对方感到他们在争取你参与谈判"
tactic_dawson_04,钳子策略,Tactic,Vise Technique,《优势谈判》,压缩/沉默/心理战,中级,"一句话压缩对方空间：你能做得更好，且不先出价不暴露底线"
tactic_dawson_05,请示上级,Tactic,Higher Authority,《优势谈判》,权威/拖延/保护,基础,"声称无权做最终决定，避免单方面让步压力，为己方争取内部协调时间"
tactic_dawson_06,消解僵局,Tactic,Breaking Deadlock,《优势谈判》,僵局/灵活/转换,中级,"换人换地点换议题，通过改变物理或议题环境打破卡壳局面"
tactic_dawson_07,让步节奏管理,Tactic,Concession Management,《优势谈判》,让步/节奏/信号,中级,"让步幅度递减（大→中→小），以递减曲线暗示己方已接近极限"
tactic_dawson_08,回收策略,Tactic,Withdrawal,《优势谈判》,撤回/测试/压力,高级,"表现出重新考虑的态度，引发对方担忧并做出反应，测试其真实底线"
tactic_dawson_09,时间压力,Tactic,Time Pressure,《优势谈判》,时间/期限/压力,基础,"善用接近截止期限的时机，此时双方都更愿意妥协达成协议"
tactic_dawson_10,蚕食策略,Tactic,Nibbling,《优势谈判》,蚕食/追加/终局,高级,"协议接近完成时提出小额追加要求，对方为维护大局往往做出让步"
tactic_dawson_11,打包策略,Tactic,Package Deal,《优势谈判》,打包/整合/价值创造,中级,"将多个议题打包处理，用不重要项目换取核心重要利益"
tactic_dawson_12,黑脸白脸,Tactic,Good Cop Bad Cop,《优势谈判》,角色/团队/心理战,中级,"团队中一人强硬一人温和，制造心理压力与慰藉的双重效果"
tactic_dawson_13,定位让步,Tactic,Positioning Concession,《优势谈判》,让步/心理/收尾,中级,"最后关键让步刻意放小，显示已到底线，给对方赢了的心理满足感"
tactic_dawson_14,书面记录,Tactic,Written Agreement,《优势谈判》,书面/确认/保障,基础,"任何口头承诺立即书面化确认，防止事后反悔或记忆分歧"
tactic_dawson_15,永不平分差异,Tactic,Never Split the Difference,《优势谈判》,原则/公平陷阱/引导,高级,"平分看似公平实则对先出高价者不利，引导对方自愿接受中间价而非硬平分"
tactic_fisher_01,对人温和对事强硬,Tactic,Soft on People Hard on Problem,《谈判力》,人与问题/分离/关系,基础,"把人与问题分开处理，不让情绪和人际关系阻碍实质利益的实现"
tactic_fisher_02,聚焦利益非立场,Tactic,Focus on Interests Not Positions,《谈判力》,利益/立场/挖掘,中级,"挖掘为什么而非执着于要什么，背后的利益才是真正的谈判空间"
tactic_fisher_03,创造多种选项,Tactic,Invent Options for Mutual Gain,《谈判力》,创意/选项/双赢,中级,"在决定前先脑力激荡扩大选项空间，寻找多种可能而非单一方案对抗"
tactic_fisher_04,坚持客观标准,Tactic,Insist on Objective Criteria,《谈判力》,标准/客观/公正,中级,"以市场价行业惯例法律标准作为谈判依据，避免纯粹意志对抗"
tactic_fisher_05,BATNA,Tactic,Best Alternative to Negotiated Agreement,《谈判力》,BATNA/底线/筹码,基础,"最佳替代方案：知道自己的退出选项才有真正筹码，改善BATNA比改善立场更重要"
tactic_fisher_06,ZOPA,Tactic,Zone of Possible Agreement,《谈判力》,ZOPA/区间/可能性,中级,"协议潜在区间：双方BATNA之间的重叠区域，ZOPA越大越容易达成协议"
