source_id,target_id,relationship,relationship_zh,weight,description
master_dawson,tactic_dawson_01,HAS_TACTIC,包含策略,1.0,道森的核心开局策略
master_dawson,tactic_dawson_02,HAS_TACTIC,包含策略,1.0,道森的核心开局策略
master_dawson,tactic_dawson_03,HAS_TACTIC,包含策略,1.0,道森的核心开局策略
master_dawson,tactic_dawson_04,HAS_TACTIC,包含策略,1.0,道森的核心开局策略
master_dawson,tactic_dawson_05,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_06,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_07,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_08,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_09,HAS_TACTIC,包含策略,1.0,道森的核心中局策略
master_dawson,tactic_dawson_10,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_11,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_12,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_13,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_14,HAS_TACTIC,包含策略,1.0,道森的核心终局策略
master_dawson,tactic_dawson_15,HAS_TACTIC,包含策略,1.0,道森的核心原则
master_fisher,tactic_fisher_01,HAS_TACTIC,包含策略,1.0,费希尔核心原则一
master_fisher,tactic_fisher_02,HAS_TACTIC,包含策略,1.0,费希尔核心原则二
master_fisher,tactic_fisher_03,HAS_TACTIC,包含策略,1.0,费希尔核心原则三
master_fisher,tactic_fisher_04,HAS_TACTIC,包含策略,1.0,费希尔核心原则四
master_fisher,tactic_fisher_05,HAS_TACTIC,包含策略,1.0,费希尔核心工具
master_fisher,tactic_fisher_06,HAS_TACTIC,包含策略,1.0,费希尔核心工具
master_fisher,tactic_fisher_07,HAS_TACTIC,包含策略,1.0,费希尔核心工具
master_voss,tactic_voss_01,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_02,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_03,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_04,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_05,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_06,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_07,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_08,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_09,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_voss,tactic_voss_10,HAS_TACTIC,包含策略,1.0,沃斯核心技术
master_cohen,tactic_cohen_01,HAS_TACTIC,包含策略,1.0,科恩三角模型
master_cohen,tactic_cohen_02,HAS_TACTIC,包含策略,1.0,科恩三角模型
master_cohen,tactic_cohen_03,HAS_TACTIC,包含策略,1.0,科恩三角模型
master_cohen,tactic_cohen_04,HAS_TACTIC,包含策略,1.0,科恩风格识别
master_cohen,tactic_cohen_05,HAS_TACTIC,包含策略,1.0,科恩双赢理念
master_cohen,tactic_cohen_06,HAS_TACTIC,包含策略,1.0,科恩心理策略
master_diamond,tactic_diamond_01,HAS_TACTIC,包含策略,1.0,戴蒙德核心原则
master_diamond,tactic_diamond_02,HAS_TACTIC,包含策略,1.0,戴蒙德核心原则
master_diamond,tactic_diamond_03,HAS_TACTIC,包含策略,1.0,戴蒙德核心原则
master_diamond,tactic_diamond_04,HAS_TACTIC,包含策略,1.0,戴蒙德核心原则
master_diamond,tactic_diamond_05,HAS_TACTIC,包含策略,1.0,戴蒙德实战工具
master_diamond,tactic_diamond_06,HAS_TACTIC,包含策略,1.0,戴蒙德实战工具
master_diamond,tactic_diamond_07,HAS_TACTIC,包含策略,1.0,戴蒙德实战工具
master_diamond,tactic_diamond_08,HAS_TACTIC,包含策略,1.0,戴蒙德实战工具
master_shell,tactic_shell_01,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_02,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_03,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_04,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_05,HAS_TACTIC,包含策略,1.0,谢尔五种风格
master_shell,tactic_shell_06,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_07,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_08,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_09,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_10,HAS_TACTIC,包含策略,1.0,谢尔六步骤
master_shell,tactic_shell_11,HAS_TACTIC,包含策略,1.0,谢尔六步骤
tactic_dawson_01,scenario_04,APPLIES_TO,适用于,0.9,价格锚定在商业谈判中高度有效
tactic_dawson_01,scenario_02,APPLIES_TO,适用于,0.8,分配博弈中的开价策略
tactic_dawson_02,scenario_04,APPLIES_TO,适用于,0.8,商业谈判中保留决策空间
tactic_dawson_07,scenario_04,APPLIES_TO,适用于,0.9,让步节奏在多轮价格谈判中核心
tactic_dawson_09,scenario_05,APPLIES_TO,适用于,0.8,危机谈判中时间压力的双向作用
tactic_dawson_10,scenario_04,APPLIES_TO,适用于,0.9,商业合同收尾阶段最常见
tactic_dawson_12,scenario_05,APPLIES_TO,适用于,0.7,团队危机谈判中的角色分工
tactic_fisher_02,scenario_05,APPLIES_TO,适用于,0.9,危机谈判核心：挖掘深层需求
tactic_fisher_02,scenario_07,APPLIES_TO,适用于,0.9,联盟谈判需要理解各方真实利益
tactic_fisher_05,scenario_04,APPLIES_TO,适用于,1.0,BATNA是商业谈判核心工具
tactic_voss_01,scenario_05,APPLIES_TO,适用于,1.0,危机谈判的核心技术
tactic_voss_02,scenario_05,APPLIES_TO,适用于,0.9,危机谈判信息获取技术
tactic_voss_03,scenario_05,APPLIES_TO,适用于,0.9,危机谈判情绪管理技术
tactic_voss_05,scenario_05,APPLIES_TO,适用于,0.9,危机谈判引导对方思考
tactic_cohen_01,scenario_04,APPLIES_TO,适用于,0.8,商业谈判中权力感知的重要性
tactic_cohen_02,scenario_04,APPLIES_TO,适用于,0.8,商业谈判中时间要素管理
tactic_diamond_03,scenario_05,APPLIES_TO,适用于,0.9,危机谈判必须先处理情绪
tactic_diamond_08,scenario_07,APPLIES_TO,适用于,0.9,联盟谈判的核心价值交换
strategy_01,scenario_01,APPLIES_TO,适用于,1.0,TfT是囚徒困境的最优策略
strategy_02,scenario_02,APPLIES_TO,适用于,0.9,最后通牒博弈中锚定效应显著
strategy_02,scenario_04,APPLIES_TO,适用于,0.9,商业谈判价格锚定
strategy_03,scenario_04,APPLIES_TO,适用于,1.0,商业谈判必备工具
strategy_07,scenario_04,APPLIES_TO,适用于,0.8,商业谈判关键节点使用
strategy_10,scenario_07,APPLIES_TO,适用于,0.9,联盟谈判的核心方法论
tactic_dawson_01,strategy_02,RELATED_TO,相关策略,0.9,都基于锚定效应原理
tactic_fisher_05,strategy_03,SAME_AS,等同概念,1.0,BATNA是同一概念
tactic_voss_02,comm_01,SAME_AS,等同概念,1.0,镜像技术在两个体系中相同
tactic_voss_01,comm_02,SAME_AS,等同概念,1.0,战术性同理心在两个体系中相同
tactic_voss_05,comm_03,SAME_AS,等同概念,1.0,校准问题在两个体系中相同
tactic_voss_03,comm_04,SAME_AS,等同概念,0.9,贴标签技术高度相似
